195,104,104,104,104,104,104,104,104,194,0,0,195,104,104,104,104,104,104,104,104,104,104,104,194,0,195,104,104,104,104,104,104,104,104,104,104,0,0,0,85,6,1,1,6,6,1,6,6,6,6,101,127,127,127,85,6,1,6,35,31,6,35,7,35,35,7,11,1,2,3,4,5,11,1,2,3,4,5,35
85,34,35,35,82,83,6,35,6,101,0,0,85,6,35,6,35,34,6,6,35,6,6,6,101,0,85,6,35,6,35,6,6,34,6,35,6,101,0,0,85,6,6,13,6,1,2,3,4,5,6,101,127,127,0,85,35,8,9,35,6,35,13,6,6,13,6,11,21,22,23,24,25,26,21,22,23,24,25,26
85,6,1,2,105,106,5,34,35,101,0,0,85,6,6,7,1,2,3,4,5,34,35,6,101,0,85,6,7,1,2,3,4,5,35,6,6,101,296,297,85,6,35,6,35,21,22,23,24,25,26,101,127,127,0,85,50,28,29,49,55,49,49,49,55,55,50,51,41,42,43,44,45,46,41,42,43,44,45,46
85,35,21,22,125,126,25,26,35,101,0,0,85,8,9,35,21,22,23,24,25,26,35,7,101,0,85,35,35,21,22,23,24,25,26,35,7,101,316,317,85,55,55,55,55,41,42,43,44,45,46,101,127,0,0,85,60,66,66,66,66,66,66,66,66,66,66,66,66,62,63,64,65,66,66,62,63,64,65,66
85,55,41,42,145,146,45,46,55,101,0,0,85,28,29,55,41,42,43,44,45,46,55,55,101,0,85,55,30,41,42,43,44,45,46,55,55,88,104,104,89,60,66,66,67,66,62,63,64,65,67,101,127,0,127,85,80,20,20,-1610612736,111,68,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
85,60,66,62,63,64,65,66,66,101,0,0,85,60,67,66,66,62,63,64,65,66,66,66,101,0,85,60,67,66,62,63,64,65,66,67,66,6,35,6,35,100,20,-1610612736,-1610612736,20,111,20,204,205,20,101,127,0,127,85,100,-1610612736,-1610612736,20,-1610612736,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,80,20,20,20,20,20,20,20,101,0,0,85,100,111,191,191,111,20,20,-1610612736,191,-1610612736,20,88,104,89,80,20,20,20,20,20,20,191,20,20,55,55,55,55,100,20,20,68,84,84,84,84,84,84,174,127,0,0,85,100,111,20,68,84,174,0,195,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,194
85,100,20,111,20,111,20,20,20,101,0,0,85,100,-1610612736,68,84,84,84,84,84,69,20,20,35,6,35,100,20,-1610612736,191,20,20,191,191,191,20,61,66,66,66,66,20,20,101,0,0,0,0,0,0,0,0,0,0,85,97,98,99,101,0,0,0,85,34,35,1,35,6,35,6,35,34,35,1,35,1,31,35,101
175,84,69,20,20,68,84,84,84,174,296,297,85,100,20,101,296,297,-1610612736,296,297,85,20,-1610612736,55,55,55,100,20,20,191,111,20,-1610612736,111,191,20,20,20,-1610612736,-1610612736,-1610612736,-1610612736,20,88,104,104,104,104,104,104,104,104,194,0,85,117,118,119,88,104,104,104,89,55,55,55,30,55,55,55,55,55,55,55,55,55,55,55,101
296,297,85,20,20,101,-1610612736,-1610612736,0,0,316,317,85,97,99,101,316,317,-1610612736,316,317,85,81,20,61,66,67,66,20,-1610612736,-1610612736,-1610612736,191,-1610612736,20,20,20,68,84,84,69,81,-1610612736,20,35,35,1,35,35,6,35,6,35,101,0,85,100,66,66,35,1,35,34,35,60,66,66,66,66,66,66,66,66,66,66,67,66,66,67,101
316,317,85,81,20,101,-1610612736,195,104,104,104,104,89,117,119,101,-1610612736,-1610612736,-1610612736,-1610612736,-1610612736,85,100,-1610612736,111,-1610612736,20,20,20,111,191,-1610612736,20,20,111,191,20,101,296,297,85,100,131,-1610612736,55,55,55,55,55,55,55,55,55,101,0,85,100,-1610612736,20,55,55,55,55,55,80,191,111,-1610612736,20,20,191,131,131,20,111,20,20,-1610612736,20,101
296,297,85,97,99,101,-1610612736,85,35,34,6,34,35,100,66,101,-1610612736,-1610612736,-1610612736,-1610612736,-1610612736,175,84,84,84,84,69,20,-1610612736,-1610612736,111,20,20,20,-1610612736,-1610612736,20,101,316,317,85,100,20,-1610612736,61,66,67,66,66,66,67,66,66,101,0,85,80,-1610612736,111,61,66,66,66,66,129,20,131,68,84,84,84,84,84,84,84,84,69,40,-1610612736,101
