103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,4,4
44,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,64,4,4
44,20,21,22,20,21,22,20,21,22,20,21,22,20,21,22,20,21,20,20,21,22,64,4,4
44,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,64,4,4
44,5,5,5,82,101,101,101,101,101,101,101,101,101,101,101,62,5,5,5,5,5,64,4,4
44,5,5,5,60,4,4,4,4,4,4,4,4,4,4,1,81,5,5,5,5,5,64,4,4
44,5,5,5,60,4,4,4,4,4,4,4,4,4,4,30,31,5,5,5,5,5,64,4,4
44,5,5,5,60,4,4,4,4,4,4,4,4,4,4,42,42,5,5,5,5,5,64,4,4
44,5,5,5,60,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,64,4,4
44,5,5,5,60,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,64,4,4
44,5,5,5,60,4,4,4,4,4,4,4,4,4,4,101,62,5,5,5,5,5,64,4,4
44,5,5,5,60,4,4,4,4,4,4,4,4,4,4,4,61,5,5,5,5,5,64,4,4
44,5,5,5,80,1,2,0,1,2,0,1,2,0,0,1,81,5,5,5,5,5,64,4,4
44,5,5,5,20,21,22,20,21,22,20,21,22,20,20,21,22,5,5,5,5,5,64,4,4
44,5,5,5,40,41,42,40,41,42,40,41,42,40,40,41,42,5,5,5,5,5,64,4,4
44,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,64,4,4
44,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,64,4,4
66,84,85,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,65,4,4
67,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,45,4,4
67,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,45,4,4
