270,271,272,272,271,272,271,272,271,272,272,273,291,291,291,291,291,291,270,271,272,272,271,271,271,272,271,272,273
290,253,331,331,331,331,331,331,331,331,331,333,400,401,402,400,401,402,330,332,331,331,331,331,331,331,332,252,293
290,313,350,351,351,351,351,351,351,351,351,351,420,421,422,420,421,422,351,351,351,351,351,351,351,351,351,290,293
290,313,370,371,371,371,371,371,371,371,371,371,440,441,442,440,441,442,371,371,371,371,371,371,371,371,371,310,293
290,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,313
290,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,313
290,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,313
290,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,313
290,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,313
290,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,313
290,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,293
290,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,313
290,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,313
290,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,313
290,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,313
290,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,313
290,233,272,271,271,272,271,271,271,273,0,0,0,0,0,0,0,0,0,270,272,271,271,271,272,271,271,232,293
290,253,331,331,331,332,331,331,331,333,0,0,0,0,0,0,0,0,0,330,331,331,331,331,332,331,331,252,313
290,313,222,223,351,351,351,351,351,203,0,0,0,0,0,0,0,0,0,203,351,351,351,351,351,224,225,290,313
290,313,242,243,371,371,447,448,449,371,0,0,0,0,0,0,0,0,0,371,371,447,448,449,371,244,245,290,293
290,313,262,263,0,0,467,468,469,0,0,0,0,0,0,0,0,0,0,0,0,467,468,469,0,264,265,290,313
290,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,313
290,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,313
310,233,271,272,272,271,272,272,272,272,271,272,273,0,0,0,270,271,271,271,272,272,271,271,271,272,271,232,293
330,331,332,332,332,332,332,332,332,331,332,332,333,0,0,0,330,331,331,332,331,331,331,331,331,332,331,331,333
351,351,351,351,351,351,351,351,351,351,351,351,280,1,1,1,283,351,351,351,351,351,351,351,351,351,351,351,351
371,371,371,371,371,371,371,371,371,371,371,371,300,1,1,1,303,371,371,371,371,371,371,371,371,371,371,371,371
